hgnc_id,symbol,name,locus_group,locus_type,status,location,alias_symbol,prev_symbol,gene_group,entrez_id,ensembl_gene_id,refseq_accession
HGNC:26459,CES5A,carboxylesterase 5A,protein-coding gene,gene with protein product,Approved,16q12.2,FLJ31547|CES4C1|CES5|CAUXIN,CES7,Carboxylesterases,221223.0,ENSG00000159398,NM_145024
HGNC:38516,CES5AP1,carboxylesterase 5A pseudogene 1,pseudogene,pseudogene,Approved,22q11.23,,,,649264.0,ENSG00000215478,NR_037839
HGNC:1866,CETN1,centrin 1,protein-coding gene,gene with protein product,Approved,18p11.32,CEN1,CETN,EF-hand domain containing,1068.0,ENSG00000177143,NM_004066
HGNC:1867,CETN2,centrin 2,protein-coding gene,gene with protein product,Approved,Xq28,CEN2,CALT,EF-hand domain containing|Nucleotide excision repair|Transcription and export complex 2|Centriolar satellite proteins,1069.0,ENSG00000147400,NM_004344
HGNC:1868,CETN3,centrin 3,protein-coding gene,gene with protein product,Approved,5q14.3,CEN3,,EF-hand domain containing|Centriolar satellite proteins,1070.0,ENSG00000153140,NM_004365
HGNC:59093,CETN3-AS1,CETN3 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,5q14.3,,,Antisense RNAs,731157.0,ENSG00000255647,NR_105024
HGNC:35450,CETN4P,"centrin 4, pseudogene",pseudogene,pseudogene,Approved,4q27,,,Unitary pseudogenes,729338.0,ENSG00000224786,NR_024041
HGNC:1869,CETP,cholesteryl ester transfer protein,protein-coding gene,gene with protein product,Approved,16q13,BPIFF,,BPI fold containing,1071.0,ENSG00000087237,NM_000078
HGNC:26842,CFAP100,cilia and flagella associated protein 100,protein-coding gene,gene with protein product,Approved,3q21.3,FLJ40083|MIA1,CCDC37,Cilia and flagella associated,348807.0,ENSG00000163885,NM_182628
HGNC:49641,CFAP100-DT,CFAP100 divergent transcript,non-coding RNA,"RNA, long non-coding",Approved,3q21.3,,CCDC37-AS1|CCDC37-DT,Divergent transcripts,100506907.0,ENSG00000249833,NR_103787
HGNC:28567,CFAP107,cilia and flagella associated protein 107,protein-coding gene,gene with protein product,Approved,1p36.21,MGC35194,C1orf158,,93190.0,ENSG00000157330,NM_152290
HGNC:28078,CFAP119,cilia and flagella associated protein 119,protein-coding gene,gene with protein product,Approved,16p11.2,MGC104706,C16orf93|CCDC189,,90835.0,ENSG00000196118,NM_001014979
HGNC:32325,CFAP126,cilia and flagella associated protein 126,protein-coding gene,gene with protein product,Approved,1q23.3,Flattop|Fltp,C1orf192,Cilia and flagella associated,257177.0,ENSG00000188931,NM_001013625
HGNC:32305,CFAP141,cilia and flagella associated protein 141,protein-coding gene,gene with protein product,Approved,1q21.3,,C1orf189,,388701.0,ENSG00000163263,NM_001010979
HGNC:34347,CFAP144,cilia and flagella associated protein 144,protein-coding gene,gene with protein product,Approved,1p34.2,LOC440585|hCG23177,FAM183A,,440585.0,ENSG00000186973,NM_001101376
HGNC:34511,CFAP144P1,CFAP144 pseudogene 1,pseudogene,pseudogene,Approved,7p14.1,LOC340286|THEG6,FAM183B|FAM183BP,,340286.0,ENSG00000164556,NR_028347
HGNC:51331,CFAP144P2,CFAP144 pseudogene 2,pseudogene,pseudogene,Approved,2q12.1,,FAM183DP,,101060105.0,ENSG00000205716,XR_007087162
HGNC:51332,CFAP144P3,CFAP144 pseudogene 3,pseudogene,pseudogene,Approved,1q41,,FAM183EP,,107403081.0,,NG_046798
HGNC:27843,CFAP157,cilia and flagella associated protein 157,protein-coding gene,gene with protein product,Approved,9q34.11,,C9orf117,Cilia and flagella associated,286207.0,ENSG00000160401,NM_001012502
HGNC:26782,CFAP161,cilia and flagella associated protein 161,protein-coding gene,gene with protein product,Approved,15q25.1,FLJ38615,C15orf26,Cilia and flagella associated,161502.0,ENSG00000156206,NM_173528
HGNC:26900,CFAP184,cilia and flagella associated protein 184,protein-coding gene,gene with protein product,Approved,4p16.1,FLJ90575,CCDC96,,257236.0,ENSG00000173013,NM_153376
HGNC:58725,CFAP184-OT1,CFAP184 overlapping transcript 1,non-coding RNA,"RNA, long non-coding",Approved,4p16.1,,,Overlapping transcripts,100129931.0,ENSG00000245748,NR_033828
HGNC:29523,CFAP20,cilia and flagella associated protein 20,protein-coding gene,gene with protein product,Approved,16q21,GTL3|fSAP23,C16orf80,Cilia and flagella associated,29105.0,ENSG00000070761,NM_013242
HGNC:58532,CFAP20-AS1,CFAP20 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,16q21,,,Antisense RNAs,,ENSG00000260545,
HGNC:21405,CFAP206,cilia and flagella associated protein 206,protein-coding gene,gene with protein product,Approved,6q15,FLJ25974|dJ382I10.1,C6orf165,Cilia and flagella associated,154313.0,ENSG00000272514,NM_178823
HGNC:24763,CFAP20DC,CFAP20 domain containing,protein-coding gene,gene with protein product,Approved,3p14.2,FLJ42117|FLJ42930,C3orf67,,200844.0,ENSG00000163689,NM_198463
HGNC:41063,CFAP20DC-AS1,CFAP20DC antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,3p14.2,,C3orf67-AS1,Antisense RNAs,101929238.0,ENSG00000242428,NR_110820
HGNC:55618,CFAP20DC-DT,CFAP20DC divergent transcript,non-coding RNA,"RNA, long non-coding",Approved,3p14.2,,,Divergent transcripts,105377110.0,ENSG00000243295,XR_002959675
HGNC:25064,CFAP210,cilia and flagella associated protein 210,protein-coding gene,gene with protein product,Approved,2q31.1,LOC129881,C2orf77|CCDC173,,129881.0,ENSG00000154479,NM_001085447
HGNC:33720,CFAP221,cilia and flagella associated protein 221,protein-coding gene,gene with protein product,Approved,2q14.2,FAP221|PCDP1,,Cilia and flagella associated,200373.0,ENSG00000163075,NM_001271049
HGNC:28506,CFAP251,cilia and flagella associated protein 251,protein-coding gene,gene with protein product,Approved,12q24.31,MGC33630|CaM-IP4,WDR66,WD repeat domain containing,144406.0,ENSG00000158023,NM_144668
HGNC:25002,CFAP263,cilia and flagella associated protein 263,protein-coding gene,gene with protein product,Approved,16q21,HSPC065|DKFZp434N1418,CCDC113,Centriolar satellite proteins,29070.0,ENSG00000103021,NM_014157
HGNC:32331,CFAP276,cilia and flagella associated protein 276,protein-coding gene,gene with protein product,Approved,1p13.3,,C1orf194,,127003.0,ENSG00000179902,NM_001122961
HGNC:1301,CFAP298,cilia and flagella associated protein 298,protein-coding gene,gene with protein product,Approved,21q22.11,FLJ20467|FBB18|CILD26|Kur|DNAAF16,C21orf48|C21orf59,Cilia and flagella associated|Axonemal dynein assembly factors,56683.0,ENSG00000159079,NM_021254
HGNC:54636,CFAP298-TCP10L,CFAP298-TCP10L readthrough,other,readthrough,Approved,21q22.11,FLJ10932,LINC00846|C21orf77,,110091775.0,ENSG00000265590,NM_001350338
HGNC:28554,CFAP299,cilia and flagella associated protein 299,protein-coding gene,gene with protein product,Approved,4q21.21,,C4orf22,Cilia and flagella associated,255119.0,ENSG00000197826,NM_152770
HGNC:58835,CFAP299-AS1,CFAP299 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,4q21.21,,,Antisense RNAs,105377305.0,,
HGNC:28188,CFAP300,cilia and flagella associated protein 300,protein-coding gene,gene with protein product,Approved,11q22.1,MGC13040|FBB5|DNAAF17,C11orf70,Cilia and flagella associated|Axonemal dynein assembly factors,85016.0,ENSG00000137691,NM_032930
HGNC:30540,CFAP36,cilia and flagella associated protein 36,protein-coding gene,gene with protein product,Approved,2p16.1,MGC15407|BARTL1,CCDC104,Cilia and flagella associated,112942.0,ENSG00000163001,NM_080667
HGNC:1260,CFAP410,cilia and flagella associated protein 410,protein-coding gene,gene with protein product,Approved,21q22.3,YF5|A2|LRRC76,C21orf2,,755.0,ENSG00000160226,NM_004928
HGNC:27232,CFAP418,cilia and flagella associated protein 418,protein-coding gene,gene with protein product,Approved,8q22.1,MOT25|FLJ30600|CORD16|RP64|BBS21|FAP418|SMALLTALK,C8orf37,,157657.0,ENSG00000156172,NM_177965
HGNC:50444,CFAP418-AS1,CFAP418 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,8q22.1,tospeak,C8orf37-AS1,Antisense RNAs,100616530.0,ENSG00000253773,NR_038201
HGNC:26684,CFAP43,cilia and flagella associated protein 43,protein-coding gene,gene with protein product,Approved,10q25.1,FLJ36006|bA373N18.2|FLJ22944,C10orf79|WDR96,WD repeat domain containing|Cilia and flagella associated,80217.0,ENSG00000197748,NM_025145
HGNC:25631,CFAP44,cilia and flagella associated protein 44,protein-coding gene,gene with protein product,Approved,3q13.2,FLJ11142,WDR52,WD repeat domain containing|Cilia and flagella associated|MicroRNA protein coding host genes,55779.0,ENSG00000206530,NM_018338
HGNC:41113,CFAP44-AS1,CFAP44 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,3q13.2,,WDR52-AS1,Antisense RNAs,100874029.0,ENSG00000243849,NR_046728
HGNC:17229,CFAP45,cilia and flagella associated protein 45,protein-coding gene,gene with protein product,Approved,1q23.2,NESG1,CCDC19,Cilia and flagella associated,25790.0,ENSG00000213085,NM_012337
HGNC:25247,CFAP46,cilia and flagella associated protein 46,protein-coding gene,gene with protein product,Approved,10q26.3,DKFZp434A1721|bA288G11.4|bA288G11.5|bB137A17.2|FLJ25954|bB137A17.3,C10orf123|C10orf124|C10orf93|C10orf92|TTC40,Tetratricopeptide repeat domain containing|Cilia and flagella associated,54777.0,ENSG00000171811,NM_001200049
HGNC:26708,CFAP47,cilia and flagella associated protein 47,protein-coding gene,gene with protein product,Approved,Xp21.1,FLJ36601|RP13-11B7.1|MGC34831,CXorf59|CXorf22|CXorf30|CHDC2,Cilia and flagella associated,286464.0,ENSG00000165164,NM_001304548
HGNC:16053,CFAP52,cilia and flagella associated protein 52,protein-coding gene,gene with protein product,Approved,17p13.1,WDRPUH|FLJ37528,WDR16,WD repeat domain containing|Cilia and flagella associated,146845.0,ENSG00000166596,NM_145054
HGNC:26530,CFAP53,cilia and flagella associated protein 53,protein-coding gene,gene with protein product,Approved,18q21.1,FLJ32743,CCDC11,Cilia and flagella associated|Centriolar satellite proteins,220136.0,ENSG00000172361,NM_145020
HGNC:43919,CFAP53P1,CFAP53 pseudogene 1,pseudogene,pseudogene,Approved,5p13.1,,CCDC11P1,,100129040.0,ENSG00000251515,NG_021844
HGNC:26456,CFAP54,cilia and flagella associated protein 54,protein-coding gene,gene with protein product,Approved,12q23.1,FLJ31514|FLJ44112,C12orf63|C12orf55,Cilia and flagella associated,144535.0,ENSG00000188596,NM_001306084
HGNC:26485,CFAP57,cilia and flagella associated protein 57,protein-coding gene,gene with protein product,Approved,1p34.2,FLJ32000,WDR65,WD repeat domain containing|Cilia and flagella associated,149465.0,ENSG00000243710,NM_152498
HGNC:26676,CFAP58,cilia and flagella associated protein 58,protein-coding gene,gene with protein product,Approved,10q25.1,FLJ35908|bA554P13.1,C10orf80|CCDC147,Cilia and flagella associated,159686.0,ENSG00000120051,NM_001008723
HGNC:45243,CFAP58-DT,CFAP58 divergent transcript,non-coding RNA,"RNA, long non-coding",Approved,10q25.1,lncITPRIP-1,CCDC147-AS1|CFAP58-AS1,Divergent transcripts,100505869.0,ENSG00000231233,NR_108036
HGNC:15872,CFAP61,cilia and flagella associated protein 61,protein-coding gene,gene with protein product,Approved,20p11.23,DKFZP434K156|dJ1002M8.3|CaM-IP3,C20orf26,Cilia and flagella associated,26074.0,ENSG00000089101,NM_015585
HGNC:40731,CFAP61-AS1,CFAP61 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,20p11.23,,,Antisense RNAs,101929575.0,ENSG00000243810,NR_183978
HGNC:25325,CFAP65,cilia and flagella associated protein 65,protein-coding gene,gene with protein product,Approved,2q35,DKFZp434O0527|MGC35338,CCDC108,Cilia and flagella associated,255101.0,ENSG00000181378,NM_194302
HGNC:58353,CFAP65-AS1,CFAP65 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,2q35,,,Antisense RNAs,100129175.0,ENSG00000224090,NR_046086
HGNC:1163,CFAP68,cilia and flagella associated protein 68,protein-coding gene,gene with protein product,Approved,11q23.1,FLJ23499,C11orf1,,64776.0,ENSG00000137720,NM_022761
HGNC:26107,CFAP69,cilia and flagella associated protein 69,protein-coding gene,gene with protein product,Approved,7q21.13,FLJ21062|FAP69,C7orf63,Cilia and flagella associated|Armadillo like helical domain containing,79846.0,ENSG00000105792,NM_001039706
HGNC:50809,CFAP69P1,CFAP69 pseudogene 1,pseudogene,pseudogene,Approved,16q13,,,,100130044.0,ENSG00000259922,NG_022505
HGNC:30726,CFAP70,cilia and flagella associated protein 70,protein-coding gene,gene with protein product,Approved,10q22.2,FLJ25765,TTC18,Tetratricopeptide repeat domain containing|Cilia and flagella associated,118491.0,ENSG00000156042,NM_145170
HGNC:37100,CFAP73,cilia and flagella associated protein 73,protein-coding gene,gene with protein product,Approved,12q24.13,MIA2,CCDC42B,Cilia and flagella associated,387885.0,ENSG00000186710,NM_001144872
HGNC:29368,CFAP74,cilia and flagella associated protein 74,protein-coding gene,gene with protein product,Approved,1p36.33,FLJ45476,C1orf222|KIAA1751,Cilia and flagella associated,85452.0,ENSG00000142609,NM_001304360
HGNC:33776,CFAP77,cilia and flagella associated protein 77,protein-coding gene,gene with protein product,Approved,9q34.13,FLJ46082,C9orf171,Cilia and flagella associated,389799.0,ENSG00000188523,NM_207417
HGNC:27028,CFAP90,cilia and flagella associated protein 90,protein-coding gene,gene with protein product,Approved,5p15.31,LOC134121,C5orf49,,134121.0,ENSG00000215217,NM_001089584
HGNC:24010,CFAP91,cilia and flagella associated protein 91,protein-coding gene,gene with protein product,Approved,3q13.33,AAT1|AAT1alpha|SPATA26|CaM-IP2|AAT-1,C3orf15|MAATS1,,89876.0,ENSG00000183833,NM_033364
HGNC:29231,CFAP92,cilia and flagella associated protein 92 (putative),protein-coding gene,gene with protein product,Approved,3q21.3,FLJ43738|FAP92,KIAA1257,,57501.0,ENSG00000114656,NM_020741
HGNC:31422,CFAP95,cilia and flagella associated protein 95,protein-coding gene,gene with protein product,Approved,9q21.12,,C9orf135,Cilia and flagella associated,138255.0,ENSG00000204711,NM_001010940
HGNC:48713,CFAP95-DT,CFAP95 divergent transcript,non-coding RNA,"RNA, long non-coding",Approved,9q21.12,,C9orf135-AS1|C9orf135-DT,Divergent transcripts,494558.0,ENSG00000225626,NR_038833
HGNC:34346,CFAP96,cilia and flagella associated protein 96,protein-coding gene,gene with protein product,Approved,4q35.1,LOC441054,C4orf47,,441054.0,ENSG00000205129,NM_001114357
HGNC:29276,CFAP97,cilia and flagella associated protein 97,protein-coding gene,gene with protein product,Approved,4q35.1,DKFZp434F1728|hmw,KIAA1430,Cilia and flagella associated,57587.0,ENSG00000164323,NM_020827
HGNC:37241,CFAP97D1,CFAP97 domain containing 1,protein-coding gene,gene with protein product,Approved,17q21.31,,C17orf105,,284067.0,ENSG00000231256,NM_001136483
HGNC:58321,CFAP97D1-AS1,CFAP97D1 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,17q21.31,,,Antisense RNAs,,ENSG00000267604,
HGNC:53789,CFAP97D2,CFAP97 domain containing 2,protein-coding gene,gene with protein product,Approved,13q34,,,,101929355.0,ENSG00000283361,NM_001395229
HGNC:54528,CFAP97P1,CFAP97 pseudogene 1,pseudogene,pseudogene,Approved,1p34.3,,,,100418722.0,ENSG00000271164,NG_026926
HGNC:51180,CFAP99,cilia and flagella associated protein 99,protein-coding gene,gene with protein product,Approved,4p16.3,,,Cilia and flagella associated,402160.0,ENSG00000206113,NM_001193282
HGNC:1037,CFB,complement factor B,protein-coding gene,gene with protein product,Approved,6p21.33,H2-Bf,BFD|BF,Serine proteases|Sushi domain containing|Complement system activation components,629.0,ENSG00000243649,NM_001710
HGNC:18292,CFC1,"cryptic, EGF-CFC family member 1",protein-coding gene,gene with protein product,Approved,2q21.1,CRYPTIC,HTX2,EGF-CFC family,55997.0,ENSG00000136698,NM_032545
HGNC:33983,CFC1B,"cryptic, EGF-CFC family member 1B",protein-coding gene,gene with protein product,Approved,2q21.1,,,EGF-CFC family,653275.0,ENSG00000152093,NM_001079530
HGNC:2771,CFD,complement factor D,protein-coding gene,gene with protein product,Approved,19p13.3,ADN,DF|PFD,Granule associated serine proteases of immune defence|Complement system activation components,1675.0,ENSG00000197766,NM_001928
HGNC:1873,CFDP1,chromatin remodeling protein CFDP1,protein-coding gene,gene with protein product,Approved,16q23.1,BCNT|p97|CP27|SWC5|Yeti|CENP-29,,,10428.0,ENSG00000153774,NM_006324
HGNC:4883,CFH,complement factor H,protein-coding gene,gene with protein product,Approved,1q31.3,HUS|FHL1|ARMS1|ARMD4,HF|HF1|HF2,Sushi domain containing|Complement system regulators and receptors,3075.0,ENSG00000000971,NM_000186
HGNC:4888,CFHR1,complement factor H related 1,protein-coding gene,gene with protein product,Approved,1q31.3,H36-1|FHR1|CFHL|H36-2,HFL1|CFHL1|CFHR1P|HFL2|CFHL1P,Sushi domain containing|Complement system regulators and receptors,3078.0,ENSG00000244414,NM_002113
HGNC:4890,CFHR2,complement factor H related 2,protein-coding gene,gene with protein product,Approved,1q31.3,FHR2,HFL3|CFHL2,Sushi domain containing|Complement system regulators and receptors,3080.0,ENSG00000080910,NM_005666
HGNC:16980,CFHR3,complement factor H related 3,protein-coding gene,gene with protein product,Approved,1q31.3,FHR-3|HLF4|FHR3|DOWN16,CFHL3,Sushi domain containing|Complement system regulators and receptors,10878.0,ENSG00000116785,NM_021023
HGNC:16979,CFHR4,complement factor H related 4,protein-coding gene,gene with protein product,Approved,1q31.3,FHR-4|FHR4,CFHL4,Sushi domain containing|Complement system regulators and receptors,10877.0,ENSG00000134365,NM_006684
HGNC:24668,CFHR5,complement factor H related 5,protein-coding gene,gene with protein product,Approved,1q31.3,FHR5|FHR-5,CFHL5,Sushi domain containing|Complement system regulators and receptors,81494.0,ENSG00000134389,NM_030787
HGNC:5394,CFI,complement factor I,protein-coding gene,gene with protein product,Approved,4q25,FI|C3b-INA|C3bINA|KAF,IF,Serine proteases|Scavenger receptor cysteine rich domain containing|Complement system regulators and receptors,3426.0,ENSG00000205403,NM_000204
HGNC:1874,CFL1,cofilin 1,protein-coding gene,gene with protein product,Approved,11q13.1,,CFL,Cofilin family,1072.0,ENSG00000172757,NM_005507
HGNC:28560,CFL1P1,cofilin 1 pseudogene 1,pseudogene,pseudogene,Approved,10q23.31,MGC35136,CFLP1,,142913.0,ENSG00000223820,NG_004788
HGNC:1878,CFL1P2,cofilin 1 pseudogene 2,pseudogene,pseudogene,Approved,1p32.3,,CFLL2|CFLP2,,391039.0,ENSG00000213478,XR_017560
HGNC:1879,CFL1P3,cofilin 1 pseudogene 3,pseudogene,pseudogene,Approved,1p31.3,,CFLL3|CFLP3,,100131874.0,ENSG00000228056,NG_032801
HGNC:1880,CFL1P4,cofilin 1 pseudogene 4,pseudogene,pseudogene,Approved,1q43,,CFLL4|CFLP4,,645980.0,ENSG00000213026,NG_008824
HGNC:1877,CFL1P5,cofilin 1 pseudogene 5,pseudogene,pseudogene,Approved,5q13.2,,CFLL1|CFLP5,,1074.0,ENSG00000213830,NG_008755
HGNC:34545,CFL1P6,cofilin 1 pseudogene 6,pseudogene,pseudogene,Approved,1p36.22,,CFLP6,,390996.0,ENSG00000215785,NG_032826
HGNC:39959,CFL1P7,cofilin 1 pseudogene 7,pseudogene,pseudogene,Approved,3p24.2,,,,100505919.0,ENSG00000213877,NG_029013
HGNC:39960,CFL1P8,cofilin 1 pseudogene 8,pseudogene,pseudogene,Approved,13q32.3,,,,100873812.0,ENSG00000234239,NG_032369
HGNC:1875,CFL2,cofilin 2,protein-coding gene,gene with protein product,Approved,14q13.1,NEM7,,Cofilin family,1073.0,ENSG00000165410,NM_138638
HGNC:1876,CFLAR,CASP8 and FADD like apoptosis regulator,protein-coding gene,gene with protein product,Approved,2q33.1,CASH|Casper|CLARP|FLAME|FLIP|I-FLICE|MRIT|c-FLIP|cFLIP,CASP8AP1,Receptor ligands|Death effector domain containing|Ripoptosome|Death inducing signaling complex,8837.0,ENSG00000003402,NM_003879
HGNC:14437,CFLAR-AS1,CFLAR antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,2q33.1,,ALS2CR10,Antisense RNAs,65072.0,ENSG00000226312,NR_040030
HGNC:8864,CFP,complement factor properdin,protein-coding gene,gene with protein product,Approved,Xp11.23,,PFC,Complement system activation components|Soluble pattern recognition molecules,5199.0,ENSG00000126759,NM_002621
HGNC:1884,CFTR,CF transmembrane conductance regulator,protein-coding gene,gene with protein product,Approved,7q31.2,MRP7|ABC35|TNR-CFTR|dJ760C5.1|CFTR/MRP,CF|ABCC7,"Chloride channels, ATP-gated CFTR|ATP binding cassette subfamily C",1080.0,ENSG00000001626,NM_000492
HGNC:40144,CFTR-AS1,CFTR antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,7q31.2,BGas,,Antisense RNAs,111082987.0,ENSG00000232661,NR_149084
HGNC:40145,CFTR-AS2,CFTR antisense RNA 2,non-coding RNA,"RNA, long non-coding",Approved,7q31.2,,,Antisense RNAs,,ENSG00000083622,
HGNC:16182,CFTRP1,CFTR pseudogene 1,pseudogene,pseudogene,Approved,20p11.1,dJ760C5.1,C20orf189,,140871.0,ENSG00000228593,NG_002787
HGNC:51351,CFTRP2,CFTR pseudogene 2,pseudogene,pseudogene,Approved,20q11.1,,,,107080633.0,ENSG00000282921,NG_046396
HGNC:51352,CFTRP3,CFTR pseudogene 3,pseudogene,pseudogene,Approved,20q11.1,,,,106481718.0,ENSG00000204555,NG_043365
HGNC:1885,CGA,"glycoprotein hormones, alpha polypeptide",protein-coding gene,gene with protein product,Approved,6q14.3,HCG|GPHa|GPHA1|FSHA|LHA|TSHA|GPA1,,Receptor ligands|Glycoprotein hormone subunits,1081.0,ENSG00000135346,NM_000735
HGNC:21367,CGAS,cyclic GMP-AMP synthase,protein-coding gene,gene with protein product,Approved,6q13,h-cGAS|D4,C6orf150|MB21D1,,115004.0,ENSG00000164430,NM_138441
HGNC:16721,CGB1,chorionic gonadotropin subunit beta 1,protein-coding gene,gene with protein product,Approved,19q13.33,,,Glycoprotein hormone subunits,114335.0,ENSG00000267631,NM_033377
HGNC:16722,CGB2,chorionic gonadotropin subunit beta 2,protein-coding gene,gene with protein product,Approved,19q13.33,,,Glycoprotein hormone subunits,114336.0,ENSG00000104818,NM_033378
HGNC:1886,CGB3,chorionic gonadotropin subunit beta 3,protein-coding gene,gene with protein product,Approved,19q13.33,,CGB,Receptor ligands|Glycoprotein hormone subunits|Proteins encoded by multiple genes,1082.0,ENSG00000104827,NM_000737
HGNC:16452,CGB5,chorionic gonadotropin subunit beta 5,protein-coding gene,gene with protein product,Approved,19q13.33,HCG,,Glycoprotein hormone subunits|Proteins encoded by multiple genes,93659.0,ENSG00000189052,NM_033043
HGNC:16451,CGB7,chorionic gonadotropin subunit beta 7,protein-coding gene,gene with protein product,Approved,19q13.33,CG-beta-a,,Glycoprotein hormone subunits,94027.0,ENSG00000196337,NM_033142
HGNC:16453,CGB8,chorionic gonadotropin subunit beta 8,protein-coding gene,gene with protein product,Approved,19q13.33,,,Glycoprotein hormone subunits|Proteins encoded by multiple genes,94115.0,ENSG00000213030,NM_033183
HGNC:1888,CGGBP1,CGG triplet repeat binding protein 1,protein-coding gene,gene with protein product,Approved,3p11.1,p20-CGGBP|CGGBP,,,8545.0,ENSG00000163320,NM_001008390
HGNC:17429,CGN,cingulin,protein-coding gene,gene with protein product,Approved,1q21.3,KIAA1319,,,57530.0,ENSG00000143375,NM_020770
HGNC:25931,CGNL1,cingulin like 1,protein-coding gene,gene with protein product,Approved,15q21.3,FLJ14957|JACOP|KIAA1749|PCING,,,84952.0,ENSG00000128849,NM_032866
HGNC:16962,CGREF1,cell growth regulator with EF-hand domain 1,protein-coding gene,gene with protein product,Approved,2p23.3,CGR11,,EF-hand domain containing,10669.0,ENSG00000138028,NM_006569
HGNC:15528,CGRRF1,cell growth regulator with ring finger domain 1,protein-coding gene,gene with protein product,Approved,14q22.2,CGR19|RNF197,,Ring finger proteins,10668.0,ENSG00000100532,NM_006568
HGNC:1907,CH25H,cholesterol 25-hydroxylase,protein-coding gene,gene with protein product,Approved,10q23.31,,,Fatty acid hydroxylase domain containing,9023.0,ENSG00000138135,NM_003956
HGNC:28680,CHAC1,ChaC glutathione specific gamma-glutamylcyclotransferase 1,protein-coding gene,gene with protein product,Approved,15q15.1,MGC4504,,Carbon-nitrogen lyases,79094.0,ENSG00000128965,NM_024111
HGNC:32363,CHAC2,ChaC glutathione specific gamma-glutamylcyclotransferase 2,protein-coding gene,gene with protein product,Approved,2p16.2,GCG1,,Carbon-nitrogen lyases,494143.0,ENSG00000143942,NM_001008708
HGNC:1909,CHAD,chondroadherin,protein-coding gene,gene with protein product,Approved,17q21.33,SLRR4A,,Small leucine rich repeat proteoglycans,1101.0,ENSG00000136457,NM_001267
HGNC:25165,CHADL,chondroadherin like,protein-coding gene,gene with protein product,Approved,22q13.2,SLRR4B,,,150356.0,ENSG00000100399,NM_138481
HGNC:53620,CHAER1,cardiac hypertrophy associated epigenetic regulator 1,non-coding RNA,"RNA, long non-coding",Approved,4q12,Chaer,,Long non-coding RNAs with non-systematic symbols,105377667.0,ENSG00000288944,XR_001741701
HGNC:1910,CHAF1A,chromatin assembly factor 1 subunit A,protein-coding gene,gene with protein product,Approved,19p13.3,CAF1P150|CAF1B|CAF-1|CAF1|P150|MGC71229,,,10036.0,ENSG00000167670,NM_005483
HGNC:1911,CHAF1B,chromatin assembly factor 1 subunit B,protein-coding gene,gene with protein product,Approved,21q22.12-q22.13,CAF1P60|CAF-1|CAF1|CAF1A|MPP7|MPHOSPH7,,WD repeat domain containing,8208.0,ENSG00000159259,NM_005441
HGNC:20311,CHAMP1,chromosome alignment maintaining phosphoprotein 1,protein-coding gene,gene with protein product,Approved,13q34,CAMP|CHAMP,C13orf8|ZNF828,Zinc fingers C2H2-type,283489.0,ENSG00000198824,NM_032436
HGNC:48626,CHASERR,CHD2 adjacent suppressive regulatory RNA,non-coding RNA,"RNA, long non-coding",Approved,15q26.1,,LINC01578,Long non-coding RNAs with non-systematic symbols,100507217.0,ENSG00000272888,NR_037601
HGNC:1912,CHAT,choline O-acetyltransferase,protein-coding gene,gene with protein product,Approved,10q11.23,CHOACTase,,Choline/carnitine acyltransferase family,1103.0,ENSG00000070748,NM_020549
HGNC:23518,CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1,protein-coding gene,gene with protein product,Approved,10q22.2,FLJ25854|mS37,C10orf34,Coiled-coil-helix-coiled-coil-helix domain containing proteins|Mitochondrial ribosomal proteins|Small subunit mitochondrial ribosomal proteins,118487.0,ENSG00000172586,NM_203298
HGNC:15559,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,protein-coding gene,gene with protein product,Approved,22q11.23,N27C7-4|MIX17A,C22orf16,Coiled-coil-helix-coiled-coil-helix domain containing proteins,400916.0,ENSG00000250479,NM_213720
HGNC:21645,CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2,protein-coding gene,gene with protein product,Approved,7p11.2,MIX17B|MNRR1,C7orf17,Coiled-coil-helix-coiled-coil-helix domain containing proteins,51142.0,ENSG00000106153,NM_016139
HGNC:39585,CHCHD2P1,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 1,pseudogene,pseudogene,Approved,Xq25,,,,100874506.0,ENSG00000226902,NG_032323
HGNC:39593,CHCHD2P10,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 10,pseudogene,pseudogene,Approved,8q11.23,,,,392221.0,,NG_028946
HGNC:49029,CHCHD2P11,coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 11,pseudogene,pseudogene,Approved,13q14.11,,,,101060040.0,ENSG00000270809,
